2025-09-12 14:56:27.192 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 14:56:27.193 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 14:56:27.207 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 15:11:15.161 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 15:11:15.176 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 15:11:15.188 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 15:11:15.202 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 15:11:15.204 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 15:11:15.218 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 15:22:24.889 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 15:22:24.905 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 15:22:24.917 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 15:22:24.932 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 15:22:24.934 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 15:22:24.948 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 15:31:17.362 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 15:31:17.377 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 15:31:17.389 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 15:31:17.404 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 15:31:17.405 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 15:31:17.421 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 15:34:35.099 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 15:34:35.116 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 15:34:35.129 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 15:34:35.145 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 15:34:35.146 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 15:34:35.162 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 15:51:24.704 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 15:51:24.722 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 15:51:24.736 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 15:51:24.754 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 15:51:24.756 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 15:51:24.772 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 16:00:51.241 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 16:00:51.258 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 16:00:51.268 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 16:00:51.283 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 16:00:51.284 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 16:00:51.300 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
