2025-09-12 08:05:34.953 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:05:35.347 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:05:35.349 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:07:40.334 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:07:40.811 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:07:40.813 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:08:24.289 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:08:24.763 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:08:24.766 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:08:51.297 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:08:51.766 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:08:51.768 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:09:21.131 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:09:21.607 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:09:21.610 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:09:56.273 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:09:56.742 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:09:56.744 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:15:04.997 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:15:05.396 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:15:05.398 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:15:19.223 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:15:19.589 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:15:19.591 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:15:43.363 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:15:43.728 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:15:43.730 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 09:34:55.117 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 09:34:55.498 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 09:34:55.500 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 10:27:21.236 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 10:27:21.682 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 10:27:21.683 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 10:59:17.803 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 10:59:18.223 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 10:59:18.225 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 11:02:50.936 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 11:02:51.306 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 11:02:51.307 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 11:04:35.927 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 11:04:36.298 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
